Timestamp,Which machine library do you use the most?,Which areas or modality of machine learning / science does your team work on?,Which use-cases does your team use machine learning for?,"How long does it take your team to productionise a model (including data ingestion, etc)? ",Which cloud platform do you use the most?,Select the top 3 biggest challenges that you face when productionising your machine learning models,"For Model Registry and/or Experiment tracking, what tool do you use the most? Skip this question if you don't use any.","For Feature Store, what tool do you use the most? Skip this question if you don't use any.","For Vector Database, what tool do you use the most? Skip this question if you don't use any.","For ETL / Workflow Orchestrator, what tool do you use the most? Skip this question if you don't use any.","For Model Training and Experimentation Platform, what tool do you use the most? Skip this question if you don't use any.","For Real Time Model Serving, what tool do you use the most? Skip this question if you don't use any.","For Model Monitoring, what tool do you use the most? Skip this question if you don't use any.","For Central Data Platform / Data Lake, what tool do you use the most? Skip this question if you don't use any.","For Managed Foundation Model / LLM Api Services, what tool do you use the most? Skip this question if you don't use any.",Which industry are you in?,How large is your organisation?,How models does your organisation have in production? This can be a guesstimate and doesn't have to be an accurate number.,"In 12 months from today, how many models does your organisation plan to have in production by then? This can be a guesstimate and doesn't have to be an accurate number.",Select which of the following your organisation has set up:,What approximate percentage of your models run real-time INFERENCE instead of batch?,"When productionising a machine learning model, does your infrastructure enable any of the following deployment methods?","What is the ""job family"" of your role?",How would you describe your role?,What is your age?,What is your country of residence?,How do you self identify?,Name of your company / employer,Score,Email Address
20/10/2025 01:34:25,Sklearn,Tabular,"Fraud, Risk, Pricing",Less than a week,Amazon Web Services,"Inconsistency of training and experimentation environments, Access to relevant data for training, Building production-grade machine learning and data pipelines",MLFlow,Custom Built In-house tool,,Databricks,Metaflow,FastAPI/Flask Wrapper,Custom Built In-house tool,Deltalake,Amazon Bedrock,Financial services,"1,000-5,000 employees",21-100,21-100,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Between 50% and 90%,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Individual Contributor (Staff+),30-34,USA,Male,,,
20/10/2025 13:38:58,TensorFlow,"LLMs, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Search",Less than a year,Amazon Web Services,,,,,,,,,,,,,,,,,,,,,,,,,
20/10/2025 21:57:56,XGBoost,"Recommender Systems, Search, Time Series / Forecasting","Demand Forecasting, Search, Recommender systems, time estimation",Less than a week,Google Cloud Platform,Machine learning monitoring and observability,MLFlow,FEAST,Pinecone,Airflow,Google Cloud Vertex AI,KServe,Evidently AI,Custom Built In-house tool,OpenAI,Retail,"250-1,000 employees",10-20,21-100,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Between 50% and 90%,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",Data Scientist,Director/VP,50-54,Germany,Female,,,
22/10/2025 12:53:51,PyTorch/Lightning/Fast.ai,"Causal Inference, LLMs, Recommender Systems, Search","Search, Recommender systems, Fraud, Risk",Less than a year,Azure,"Gaps in tooling and support for model productionisation, Access to relevant data for training, Lack of specialised data scientists",MLFlow,,Azure AI,Airflow,Databricks,Databricks,,Deltalake,OpenAI,Financial services,"5,000-50,000 employees",21-100,100-1000,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",,,Business / Domain Practitioner,Manager,40-44,Netherlands,Male,,,
22/10/2025 15:01:44,Catboost,"Recommender Systems, Search, Tabular, Time Series / Forecasting","Demand Forecasting, Search, Recommender systems",Less than a month,Google Cloud Platform,"Inconsistency of training and experimentation environments, Machine learning monitoring and observability",MLFlow,FEAST,,Airflow,Google Cloud Vertex AI,KServe,Evidently AI,GCP / BigLake,Google Gemini,Retail,"1,000-5,000 employees",5-9,10-20,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Between 10% and 30%,"Canary Deployments, A/B Tests for Models, CI/CD for continuous deployment, Development-Staging-Production Environments",Data Scientist,Manager,25-29,Germany,Male,,,
26/10/2025 10:20:10,Sklearn,Time Series / Forecasting,Demand Forecasting,Less than 3 months,Azure,"Access to relevant data for training, Showcasing business impact and business value, Machine learning monitoring and observability",Azureml,,,,Azure ML Studio,,,Azure DataLake,,Utilities,"50,000+ employees",5-9,10-20,Central Machine Learning Platform / Team,Less than 10%,Development-Staging-Production Environments,MLOps Engineer,Individual Contributor (Staff+),35-39,,Male,,,
26/10/2025 23:46:41,PyTorch/Lightning/Fast.ai,"LLMs, Recommender Systems","Search, Recommender systems",Less than 3 months,Amazon Web Services,"Access to relevant data for training, Machine learning monitoring and observability, Governance and domain risks",MLFlow,FEAST,Pinecone,Dagster,Amazon SageMaker,BentoML,Evidently AI,Snowflake,OpenAI,Financial services,50-250 employees,10-20,21-100,"A Developer Productivity Team which also covers machine learning, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",,"Canary Deployments, A/B Tests for Models",Data Scientist,Director/VP,45-49,UK,Male,,,
27/10/2025 00:54:48,Sklearn,"Tabular, Time Series / Forecasting","Fraud, Risk",Less than a month,Amazon Web Services,"Inconsistency of training and experimentation environments, Machine learning monitoring and observability",MLFlow,FEAST,Custom Built In-house tool,Argo Workflows,Databricks,FastAPI/Flask Wrapper,Evidently AI,Deltalake,OpenAI,Financial services,10-50 employees,2-5,2-5,Data Platform / Data Engineering Organisation,Between 10% and 30%,CI/CD for continuous deployment,Data Engineer,Individual Contributor (Staff+),30-34,Brazil,Female,,,
27/10/2025 06:08:11,TensorFlow,LLMs,AI Products,Less than a month,,"Access to relevant data for training, Lack of specialised data scientists",Weights & Biases,,,,,,,,,Insurance,Less than 10 employees,2-5,5-9,A Developer Productivity Team which also covers machine learning,,,Data Engineer,Manager,55-59,Lebanon,Male,,,
27/10/2025 08:25:27,PyTorch/Lightning/Fast.ai,"Image / Computer Vision, Recommender Systems, Search","Search, Recommender systems",Less than a week,Self Hosting ,Lack of specialised data scientists,Custom Built In-house tool,Custom Built In-house tool,Vespa,,,,Custom Built In-house tool,Snowflake,OpenAI,Technology,"1,000-5,000 employees",10-20,21-100,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Between 50% and 90%,"Canary Deployments, A/B Tests for Models",Data Scientist,Individual Contributor (Staff+),30-34,,Male,,,
27/10/2025 11:11:28,Sklearn,"LLMs, Tabular, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Risk",Less than a month,Azure,"Inconsistency of training and experimentation environments, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",MLFlow,,,,Azure ML Studio,FastAPI/Flask Wrapper,,,Azure AI,Technology,"1,000-5,000 employees",21-100,21-100,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Between 10% and 30%,"CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Junior to Senior),30-34,Spain,Male,,,
02/11/2025 19:46:33,Sklearn,"Recommender Systems, Tabular, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Recommender systems",Less than 6 months,Amazon Web Services,"Lack of specialised engineers, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",MLFlow,FEAST,,Airflow,Amazon SageMaker,,,Snowflake,Google Gemini,Food,"250-1,000 employees",10-20,10-20,Data Platform / Data Engineering Organisation,Less than 10%,Development-Staging-Production Environments,Machine Learning Engineer,Individual Contributor (Junior to Senior),35-39,Germany,Male,,,
02/11/2025 20:17:43,PyTorch/Lightning/Fast.ai,Image / Computer Vision,Embbeded systems,Less than 3 months,Google Cloud Platform,"Inconsistency of training and experimentation environments, Gaps in tooling and support for model productionisation, Access to relevant data for training",Weights & Biases,,,,,FastAPI/Flask Wrapper,,,OpenAI,Transportation & warehousing,"5,000-50,000 employees",2-5,2-5,A Developer Productivity Team which also covers machine learning,Less than 10%,A/B Tests for Models,Business / Domain Practitioner,Individual Contributor (Staff+),35-39,Romania,Male,Forvia,,
02/11/2025 23:37:26,XGBoost,Tabular,"Risk, Pricing",Less than 6 months,Azure,"Inconsistency of training and experimentation environments, Showcasing business impact and business value, Machine learning monitoring and observability",,,,,Databricks,,Evidently AI,,OpenAI,Insurance,"1,000-5,000 employees",21-100,21-100,"A Developer Productivity Team which also covers machine learning, Data Platform / Data Engineering Organisation",Between 10% and 30%,,Data Scientist,Individual Contributor (Junior to Senior),,,Female,,,
03/11/2025 11:56:20,PyTorch/Lightning/Fast.ai,"Tabular, Time Series / Forecasting","Demand Forecasting, Pricing",Less than a month,Google Cloud Platform,"Inconsistency of training and experimentation environments, Access to relevant data for training, Lack of specialised data scientists",,,,,Google Cloud Vertex AI,,Custom Built In-house tool,GCP / BigLake,,Retail,,,,,,,Machine Learning Engineer,Individual Contributor (Junior to Senior),,,,,,
05/11/2025 08:00:27,Sklearn,"LLMs, Time Series / Forecasting",Demand Forecasting,,Amazon Web Services,"Lack of specialised data scientists, Showcasing business impact and business value",,,Elasticsearch,Airflow,Amazon SageMaker,,,AWS / Lakeformation,Amazon Bedrock,Telecommunications,"250-1,000 employees",2-5,2-5,"A Developer Productivity Team which also covers machine learning, Data Platform / Data Engineering Organisation",Less than 10%,,Product Manager,Manager,35-39,Espaa,Male,,,
05/11/2025 09:45:31,PyTorch/Lightning/Fast.ai,"Causal Inference, Image / Computer Vision, Recommender Systems, Search, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Search, Recommender systems, Fraud, Pricing",Less than a month,Amazon Web Services,"Machine learning monitoring and observability, Machine learning security, Governance and domain risks",MLFlow,Custom Built In-house tool,Custom Built In-house tool,Databricks,Databricks,FastAPI/Flask Wrapper,Custom Built In-house tool,Databricks,All of the above,Technology,Less than 10 employees,"Varies, we consult",10-20,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, AI Inventory (Keeping track of all AI usecases and models)",Between 50% and 90%,"A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment",Data Scientist,C-Suite,40-44,Netherlands,Male,Dtyped,,
05/11/2025 10:11:09,PyTorch/Lightning/Fast.ai,"Image / Computer Vision, LLMs, Time Series / Forecasting","Demand Forecasting, Risk, Pricing",Less than a month,Amazon Web Services,"Gaps in tooling and support for model productionisation, Showcasing business impact and business value, Machine learning monitoring and observability",Optuna,Custom Built In-house tool,OpenSearch,Custom Built In-house tool,Custom Built In-house tool,,,Custom Built In-house tool,Amazon Bedrock,Hospitality,"1,000-5,000 employees",5-9,10-20,"Data Platform / Data Engineering Organisation, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",Between 10% and 30%,"A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment",Data Scientist,Director/VP,40-44,,Male,,,
05/11/2025 13:33:25,Sklearn,"Image / Computer Vision, LLMs, Tabular, Time Series / Forecasting, Classification",AI Products,Less than 3 months,Amazon Web Services,"Gaps in tooling and support for model productionisation, Lack of specialised engineers, Building production-grade machine learning and data pipelines",MLFlow,,,Argo Workflows,Amazon SageMaker,FastAPI/Flask Wrapper,Custom Built In-house tool,Snowflake,Amazon Bedrock,Financial services,"1,000-5,000 employees",10-20,21-100,Data Platform / Data Engineering Organisation,Between 50% and 90%,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Junior to Senior),25-29,France,Male,,,
05/11/2025 15:06:47,Sklearn,Time Series / Forecasting,"Demand Forecasting, Pricing",Less than a week,Amazon Web Services,"Access to relevant data for training, Governance and domain risks",Custom Built In-house tool,,,Airflow,Amazon SageMaker,Sagemaker,Custom Built In-house tool,Custom Built In-house tool,Anthropic,Retail,Less than 10 employees,2-5,21-100,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team",Less than 10%,"CI/CD for continuous deployment, Development-Staging-Production Environments",Data Scientist,Manager,40-44,Germany,Male,,,
06/11/2025 10:24:05,TensorFlow,"Image / Computer Vision, LLMs, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Recommender systems, Pricing",Less than 3 months,Azure,"Access to relevant data for training, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",Data Version Control (DVC),,Pinecone,Airflow,Azure ML Studio,Databricks,Custom Built In-house tool,Azure DataLake,,Technology,10-50 employees,10-20,10-20,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Less than 10%,"A/B Tests for Models, CI/CD for continuous deployment",Business / Domain Practitioner,Director/VP,40-44,Spain,Male,A17,,
07/11/2025 17:21:04,Catboost,"Recommender Systems, Time Series / Forecasting","Demand Forecasting, Recommender systems, Pricing",More than a year,Google Cloud Platform,"Gaps in tooling and support for model productionisation, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",MLFlow,FEAST,Weaviate,Airflow,Google Cloud Vertex AI,Triton,Evidently AI,Snowflake,Azure AI,Technology,"1,000-5,000 employees",10-20,2-5,"A Developer Productivity Team which also covers machine learning, Data Platform / Data Engineering Organisation",Between 10% and 30%,"A/B Tests for Models, CI/CD for continuous deployment",MLOps Engineer,Individual Contributor (Junior to Senior),30-34,Ukraine,Male,Autodoc,,
09/11/2025 09:38:43,Sklearn,"Causal Inference, LLMs, Tabular, Text / NLP (Non-LLM), Time Series / Forecasting","Risk, Pricing, Automation",More than a year,Azure,"Access to relevant data for training, Lack of specialised engineers, Building production-grade machine learning and data pipelines",MLFlow,,,Databricks,Databricks,Databricks,,Deltalake,,Consultant,50-250 employees,10-20,21-100,Central Machine Learning Platform / Team,Between 50% and 90%,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,C-Suite,45-49,UK,Male,Marionete,,
09/11/2025 13:35:06,Sklearn,"Causal Inference, LLMs, Tabular, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Fraud, Risk, Pricing",Less than 3 months,Amazon Web Services,"Machine learning monitoring and observability, Machine learning security, Governance and domain risks",MLFlow,FEAST,PG-Vector,Airflow,Custom Built In-house tool,Custom Built In-house tool,Custom Built In-house tool,Custom Built In-house tool,Amazon Bedrock,Financial services,"1,000-5,000 employees",21-100,10-20,"AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",More than 90%,"Canary Deployments, A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Manager,50-54,Brazil,Male,,,
09/11/2025 18:03:19,Catboost,"Causal Inference, LLMs, Tabular, Text / NLP (Non-LLM)","Fraud, Risk, Pricing",Less than a year,Azure,"Lack of specialised engineers, Lack of specialised data scientists, Building production-grade machine learning and data pipelines",Custom Built In-house tool,,,,,,,,,,,,,,,,,,,,,,,
09/11/2025 19:24:00,PyTorch/Lightning/Fast.ai,"Causal Inference, Image / Computer Vision, LLMs, Recommender Systems, Search, Text / NLP (Non-LLM)","Search, Recommender systems, Pricing",Less than 3 months,Azure,"Inconsistency of training and experimentation environments, Gaps in tooling and support for model productionisation, Machine learning monitoring and observability",MLFlow,Custom Built In-house tool,,Airflow,Custom Built In-house tool,Custom Built In-house tool,Custom Built In-house tool,Custom Built In-house tool,Azure AI,Retail,"50,000+ employees",100-1000,100-1000,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Inventory (Keeping track of all AI usecases and models)",Less than 10%,"A/B Tests for Models, Development-Staging-Production Environments",Machine Learning Engineer,Manager,50-54,UK,Male,,,
09/11/2025 19:54:34,PyTorch/Lightning/Fast.ai,Image / Computer Vision,Embbeded systems,Less than a month,Google Cloud Platform,"Inconsistency of training and experimentation environments, Access to relevant data for training",Weights & Biases,,,,,FastAPI/Flask Wrapper,,,Google Gemini,Electronics,Less than 10 employees,2-5,2-5,,Between 50% and 90%,,Machine Learning Engineer,Individual Contributor (Junior to Senior),22-24,INDIA ,Male,OLT INNOVATIONS Private Limited ,,
09/11/2025 21:38:58,PyTorch/Lightning/Fast.ai,"Image / Computer Vision, Tabular, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Risk",Less than 3 months,Azure,"Inconsistency of training and experimentation environments, Access to relevant data for training, Lack of specialised engineers",MLFlow,Databricks,,Airflow,Databricks,FastAPI/Flask Wrapper,,Deltalake,OpenAI,Energy,"5,000-50,000 employees",10-20,21-100,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Less than 10%,,Machine Learning Engineer,Individual Contributor (Junior to Senior),30-34,Netherlands,Male,Stedin,,
10/11/2025 02:05:52,Sklearn,"LLMs, Tabular, Text / NLP (Non-LLM)","Marketing Intelligence, Fraud, Risk, Pricing",Less than 6 months,Azure,"Gaps in tooling and support for model productionisation, Lack of specialised engineers, Machine learning monitoring and observability",MLFlow,Custom Built In-house tool,,Databricks,Databricks,Databricks,,Snowflake,Azure AI,Financial services,"1,000-5,000 employees",5-9,5-9,"Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Less than 10%,CI/CD for continuous deployment,Data Scientist,Individual Contributor (Staff+),40-44,Norway,Male,,,
10/11/2025 03:05:46,PyTorch/Lightning/Fast.ai,"LLMs, Recommender Systems, Search, Tabular, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Search, Recommender systems, Pricing",Less than 3 months,Azure,Governance and domain risks,MLFlow,Custom Built In-house tool,Milvus,Argo Workflows,Databricks,Databricks,Custom Built In-house tool,GCP / BigLake,Azure AI,Retail,"5,000-50,000 employees",21-100,21-100,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",Between 10% and 30%,"Canary Deployments, Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Junior to Senior),30-34,India ,Male,,,
10/11/2025 06:02:45,PyTorch/Lightning/Fast.ai,"Causal Inference, Image / Computer Vision, LLMs, Search, Text / NLP (Non-LLM)",AI Products,Less than 3 months,Google Cloud Platform,"Inconsistency of training and experimentation environments, Building production-grade machine learning and data pipelines, Machine learning security",,,ChromaDB,,Custom Built In-house tool,FastAPI/Flask Wrapper,Tensorboard,,Anthropic,Technology,10-50 employees,5-9,10-20,Central Machine Learning Platform / Team,Less than 10%,CI/CD for continuous deployment,Machine Learning Engineer,Individual Contributor (Junior to Senior),25-29,Pakistan,Male,,,
10/11/2025 10:01:09,Sklearn,"Image / Computer Vision, Tabular, Time Series / Forecasting","Demand Forecasting, electrical net design",Less than a year,Azure,"Gaps in tooling and support for model productionisation, Access to relevant data for training, Showcasing business impact and business value",MLFlow,,,Airflow,Databricks,Databricks,Databricks,Deltalake,,Energy,"5,000-50,000 employees",21-100,21-100,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Less than 10%,"CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Junior to Senior),25-29,The Netherlands,Male,,,
10/11/2025 11:45:52,Sklearn,"Image / Computer Vision, Tabular, Time Series / Forecasting",Demand Forecasting,Less than 6 months,Azure,"Inconsistency of training and experimentation environments, Machine learning monitoring and observability, Governance and domain risks",MLFlow,Databricks,,Airflow,Databricks,,,Azure DataLake,Azure AI,Energy,"5,000-50,000 employees",21-100,100-1000,Central Machine Learning Platform / Team,Less than 10%,"A/B Tests for Models, CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Individual Contributor (Junior to Senior),25-29,Netherlands,Male,,,
10/11/2025 13:23:13,PyTorch/Lightning/Fast.ai,"Image / Computer Vision, LLMs, Tabular, Text / NLP (Non-LLM)",Data Extraction,Less than a month,Amazon Web Services,"Gaps in tooling and support for model productionisation, Machine learning monitoring and observability",Weights & Biases,,Qdrant,,Amazon SageMaker,FastAPI/Flask Wrapper,,AWS / Lakeformation,Amazon Bedrock,Technology,10-50 employees,10-20,10-20,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team",Between 10% and 30%,,Machine Learning Engineer,Individual Contributor (Junior to Senior),25-29,India,Male,,,
10/11/2025 14:21:37,Sklearn,"Image / Computer Vision, Time Series / Forecasting","Demand Forecasting, Fraud, Risk",Less than 3 months,Databricks,"Inconsistency of training and experimentation environments, Access to relevant data for training, Machine learning monitoring and observability",MLFlow,Databricks,Databricks,Airflow,Databricks,FastAPI/Flask Wrapper,Custom Built In-house tool,Deltalake,,Energy,"5,000-50,000 employees",21-100,100-1000,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",Less than 10%,"CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Junior to Senior),25-29,The Netherlands,Female,,,
10/11/2025 15:07:44,Sklearn,"Causal Inference, LLMs, Recommender Systems, Tabular, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Recommender systems",Less than 3 months,Amazon Web Services,"Inconsistency of training and experimentation environments, Access to relevant data for training, Showcasing business impact and business value",MLFlow,Databricks,Databricks,Databricks,Databricks,Custom Built In-house tool,Databricks,Deltalake,Amazon Bedrock,Retail,"5,000-50,000 employees",10-20,21-100,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Less than 10%,"A/B Tests for Models, CI/CD for continuous deployment",Machine Learning Engineer,Director/VP,45-49,Denmark,Male,,,
14/11/2025 16:58:08,PyTorch/Lightning/Fast.ai,"Image / Computer Vision, LLMs, Recommender Systems, Tabular, Time Series / Forecasting","Marketing Intelligence, Search, Recommender systems, Pricing, Logistics",Less than 6 months,Google Cloud Platform,"Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",Weights & Biases,FEAST,Milvus,Kubeflow,Google Cloud Vertex AI,FastAPI/Flask Wrapper,Custom Built In-house tool,GCP / BigLake,Google Gemini,Technology,"1,000-5,000 employees",5-9,10-20,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Between 50% and 90%,"Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",Machine Learning Engineer,Individual Contributor (Junior to Senior),25-29,Germany,Male,momox SE,,
16/11/2025 17:57:49,PyTorch/Lightning/Fast.ai,"Causal Inference, LLMs, Recommender Systems, Search, Tabular, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Search, Recommender systems, Fraud, Risk, Pricing, Product",Less than 3 months,Amazon Web Services,"Showcasing business impact and business value, Machine learning security, Governance and domain risks",Weights & Biases,Custom Built In-house tool,Pgvector,Airflow,Amazon SageMaker,Sagemaker,Neptune AI,AWS / Lakeformation,All of the above,Technology,Less than 10 employees,2-5,5-9,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",Between 10% and 30%,"A/B Tests for Models, CI/CD for continuous deployment, Development-Staging-Production Environments",Business / Domain Practitioner,Individual Contributor (Staff+),25-29,USA,Male,,,
21/11/2025 07:36:14,XGBoost,LLMs,Data Extraction,Less than a month,Amazon Web Services,"Inconsistency of training and experimentation environments, Lack of specialised engineers, Machine learning monitoring and observability",MLFlow,,Qdrant,Airflow,Databricks,Databricks,Arize AI,Snowflake,OpenAI,Financial services,"1,000-5,000 employees",10-20,21-100,AI Risk & Governance Function,Between 50% and 90%,CI/CD for continuous deployment,Data Scientist,C-Suite,60+,USA,Male,Carlyle,,
23/11/2025 16:32:57,PyTorch/Lightning/Fast.ai,"Causal Inference, Image / Computer Vision, LLMs, Recommender Systems, Search, Tabular, Text / NLP (Non-LLM), Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Search, Recommender systems, Fraud, Risk, Pricing",Less than 6 months,Google Cloud Platform,"Building production-grade machine learning and data pipelines, Machine learning monitoring and observability, Governance and domain risks",Weights & Biases,Custom Built In-house tool,Weaviate,Airflow,Azure ML Studio,Sagemaker,Neptune AI,Azure DataLake,Google Gemini,Electronics,Less than 10 employees,5-9,10-20,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation",Between 10% and 30%,"Canary Deployments, A/B Tests for Models, CI/CD for continuous deployment",Machine Learning Engineer,Individual Contributor (Junior to Senior),30-34,India,Male,Shailesh Chandra Pandey ,,
24/11/2025 02:22:50,Sklearn,"LLMs, Recommender Systems, Search, Text / NLP (Non-LLM)","Search, Recommender systems",Less than a month,Azure,"Access to relevant data for training, Showcasing business impact and business value, Machine learning monitoring and observability",MLFlow,,,,Azure ML Studio,,,,Azure AI,Technology,"50,000+ employees",1000+,100-1000,"A Developer Productivity Team which also covers machine learning, Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",Between 50% and 90%,"A/B Tests for Models, CI/CD for continuous deployment, Development-Staging-Production Environments",Data Scientist,Individual Contributor (Junior to Senior),25-29,uk,Male,,,
26/11/2025 13:48:03,XGBoost,"Tabular, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Fraud, Risk",Less than 3 months,Azure,"Inconsistency of training and experimentation environments, Access to relevant data for training, Building production-grade machine learning and data pipelines",MLFlow,Databricks,,Databricks,Databricks,Docker / Azure Functions,Custom Built In-house tool,Databricks,,Financial services,50-250 employees,10-20,10-20,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",Between 10% and 30%,"Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Individual Contributor (Staff+),30-34,Luxembourg,Male,,,
26/11/2025 16:15:48,PyTorch/Lightning/Fast.ai,Time Series / Forecasting,Risk,Less than a week,Amazon Web Services,"Showcasing business impact and business value, Building production-grade machine learning and data pipelines, Machine learning monitoring and observability",MLFlow,,,Airflow,Lightning AI,LitServe,,GCP / BigLake,Cursor,Financial services,Less than 10 employees,1,2-5,,Less than 10%,Development-Staging-Production Environments,MLOps Engineer,Individual Contributor (Staff+),40-44,United Kingdom,Male,Synthera AI,,
26/11/2025 21:03:56,Lightgbm,"Tabular, Time Series / Forecasting",Demand Forecasting,Less than a month,Hetzner,"Access to relevant data for training, Machine learning monitoring and observability",,,,Celery,,FastAPI/Flask Wrapper,,,OpenAI,Energy,Less than 10 employees,1000+,1000+,A Developer Productivity Team which also covers machine learning,Less than 10%,Development-Staging-Production Environments,Business / Domain Practitioner,Manager,30-34,Sweden,Male,,,
27/11/2025 14:14:19,PyTorch/Lightning/Fast.ai,"Image / Computer Vision, LLMs, Recommender Systems, Tabular, Time Series / Forecasting","Demand Forecasting, Risk, Pricing",Less than 3 months,Amazon Web Services,"Gaps in tooling and support for model productionisation, Lack of specialised data scientists, Machine learning monitoring and observability",MLFlow,Custom Built In-house tool,Custom Built In-house tool,AWS Step Functions,Custom Built In-house tool,Custom Built In-house tool,Custom Built In-house tool,Custom Built In-house tool,Amazon Bedrock,Hospitality,"1,000-5,000 employees",5-9,10-20,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Risk & Governance Function, AI Inventory (Keeping track of all AI usecases and models)",Between 10% and 30%,"A/B Tests for Models, Progressive Rollouts, CI/CD for continuous deployment",Business / Domain Practitioner,Director/VP,40-44,Germany,Male,,,
01/12/2025 05:34:12,TensorFlow,"Image / Computer Vision, Time Series / Forecasting","Demand Forecasting, Recommender systems",More than a year,Google Cloud Platform,"Gaps in tooling and support for model productionisation, Access to relevant data for training, Machine learning monitoring and observability",MLFlow,,,,,,,Custom Built In-house tool,OpenAI,Technology,"250-1,000 employees",,,"A Developer Productivity Team which also covers machine learning, Data Platform / Data Engineering Organisation, AI Risk & Governance Function",,,Machine Learning Engineer,Manager,45-49,,Male,,,
01/12/2025 14:50:40,Sklearn,"LLMs, Recommender Systems, Tabular, Time Series / Forecasting","Demand Forecasting, Marketing Intelligence, Fraud, Risk, Pricing",Less than a year,Azure,"Lack of specialised engineers, Lack of specialised data scientists, Building production-grade machine learning and data pipelines",MLFlow,azure ml's,azure search,,Azure ML Studio,Azure ML,Evidently AI,Azure DataLake,OpenAI,Insurance,"5,000-50,000 employees",5-9,21-100,"Central Machine Learning Platform / Team, Data Platform / Data Engineering Organisation, AI Inventory (Keeping track of all AI usecases and models)",Between 50% and 90%,"Progressive Rollouts, CI/CD for continuous deployment, Development-Staging-Production Environments",MLOps Engineer,Individual Contributor (Staff+),35-39,nl,,,,